# STN,YYYYMMDD,TG
260,20200101,0.8
260,20200102,3.9
260,20200103,7.6
260,20200104,6.7
260,20200105,6.9
260,20200106,6.0
260,20200107,6.6
260,20200108,10.4
260,20200109,11.5
260,20200110,6.8
260,20200111,6.0
260,20200112,7.5
260,20200113,7.8
260,20200114,10.6
260,20200115,9.4
260,20200116,7.2
260,20200117,8.3
260,20200118,4.5
260,20200119,3.5
260,20200120,2.9
260,20200121,0.7
260,20200122,4.4
260,20200123,3.7
260,20200124,2.3
260,20200125,2.0
260,20200126,5.5
260,20200127,8.2
260,20200128,5.4
260,20200129,6.0
260,20200130,8.5
260,20200131,10.9
260,20200201,10.6
260,20200202,8.9
260,20200203,9.2
260,20200204,5.1
260,20200205,4.8
260,20200206,5.0
260,20200207,3.9
260,20200208,7.0
260,20200209,10.0
260,20200210,8.0
260,20200211,6.3
260,20200212,5.5
260,20200213,5.7
260,20200214,7.3
260,20200215,10.6
260,20200216,12.1
260,20200217,8.1
260,20200218,7.6
260,20200219,6.2
260,20200220,8.2
260,20200221,7.3
260,20200222,9.2
260,20200223,8.7
260,20200224,7.6
260,20200225,6.6
260,20200226,3.4
260,20200227,2.7
260,20200228,4.6
260,20200229,8.7
260,20200301,6.6
260,20200302,5.5
260,20200303,4.4
260,20200304,6.5
260,20200305,5.5
260,20200306,6.2
260,20200307,6.6
260,20200308,8.7
260,20200309,7.8
260,20200310,10.1
260,20200311,11.0
260,20200312,8.4
260,20200313,6.6
260,20200314,6.7
260,20200315,9.6
260,20200316,7.5
260,20200317,8.6
260,20200318,10.5
260,20200319,8.5
260,20200320,6.7
260,20200321,4.6
260,20200322,4.6
260,20200323,4.7
260,20200324,4.9
260,20200325,5.5
260,20200326,6.6
260,20200327,8.5
260,20200328,7.4
260,20200329,4.7
260,20200330,3.8
260,20200331,4.1
260,20200401,3.9
260,20200402,7.0
260,20200403,6.6
260,20200404,7.3
260,20200405,12.6
260,20200406,14.3
260,20200407,12.2
260,20200408,15.0
260,20200409,13.3
260,20200410,11.5
260,20200411,12.2
260,20200412,14.0
260,20200413,7.8
260,20200414,6.0
260,20200415,8.5
260,20200416,13.0
260,20200417,10.9
260,20200418,11.1
260,20200419,12.5
260,20200420,12.7
260,20200421,13.9
260,20200422,15.2
260,20200423,15.8
260,20200424,12.4
260,20200425,9.8
260,20200426,9.0
260,20200427,12.4
260,20200428,9.4
260,20200429,11.7
260,20200430,11.5
260,20200501,10.5
260,20200502,10.3
260,20200503,11.0
260,20200504,10.8
260,20200505,9.2
260,20200506,10.6
260,20200507,12.0
260,20200508,14.5
260,20200509,17.1
260,20200510,12.9
260,20200511,8.4
260,20200512,7.7
260,20200513,7.2
260,20200514,7.1
260,20200515,8.5
260,20200516,9.8
260,20200517,12.1
260,20200518,14.9
260,20200519,16.6
260,20200520,16.2
260,20200521,19.2
260,20200522,19.0
260,20200523,15.3
260,20200524,13.5
260,20200525,15.5
260,20200526,16.3
260,20200527,15.8
260,20200528,14.1
260,20200529,15.3
260,20200530,17.8
260,20200531,17.2
260,20200601,18.8
260,20200602,20.1
260,20200603,17.5
260,20200604,12.8
260,20200605,9.9
260,20200606,11.6
260,20200607,12.7
260,20200608,14.6
260,20200609,13.3
260,20200610,13.9
260,20200611,15.7
260,20200612,19.5
260,20200613,20.2
260,20200614,18.3
260,20200615,19.1
260,20200616,17.9
260,20200617,19.0
260,20200618,17.6
260,20200619,17.2
260,20200620,16.7
260,20200621,18.6
260,20200622,17.8
260,20200623,19.7
260,20200624,23.3
260,20200625,24.0
260,20200626,24.2
260,20200627,20.6
260,20200628,17.9
260,20200629,16.0
260,20200630,16.0
260,20200701,17.9
260,20200702,17.1
260,20200703,17.7
260,20200704,16.5
260,20200705,17.9
260,20200706,14.9
260,20200707,14.6
260,20200708,14.6
260,20200709,16.7
260,20200710,14.6
260,20200711,14.1
260,20200712,14.9
260,20200713,17.2
260,20200714,15.7
260,20200715,15.9
260,20200716,16.3
260,20200717,18.3
260,20200718,19.4
260,20200719,17.9
260,20200720,16.1
260,20200721,14.5
260,20200722,14.5
260,20200723,18.4
260,20200724,18.5
260,20200725,18.4
260,20200726,18.7
260,20200727,18.4
260,20200728,17.9
260,20200729,16.2
260,20200730,18.3
260,20200731,24.5
260,20200801,20.6
260,20200802,16.8
260,20200803,15.4
260,20200804,16.4
260,20200805,20.6
260,20200806,22.3
260,20200807,24.7
260,20200808,26.4
260,20200809,26.7
260,20200810,26.1
260,20200811,27.0
260,20200812,26.3
260,20200813,25.1
260,20200814,23.3
260,20200815,22.5
260,20200816,22.5
260,20200817,18.9
260,20200818,18.3
260,20200819,21.3
260,20200820,23.2
260,20200821,23.9
260,20200822,19.2
260,20200823,17.6
260,20200824,16.5
260,20200825,17.0
260,20200826,16.1
260,20200827,16.0
260,20200828,16.1
260,20200829,14.9
260,20200830,15.3
260,20200831,14.5
260,20200901,13.5
260,20200902,14.8
260,20200903,16.3
260,20200904,17.3
260,20200905,14.8
260,20200906,14.2
260,20200907,15.5
260,20200908,17.3
260,20200909,16.8
260,20200910,13.2
260,20200911,13.7
260,20200912,14.2
260,20200913,16.4
260,20200914,18.6
260,20200915,21.2
260,20200916,18.4
260,20200917,13.5
260,20200918,14.5
260,20200919,15.4
260,20200920,14.9
260,20200921,14.9
260,20200922,14.1
260,20200923,16.2
260,20200924,13.7
260,20200925,10.9
260,20200926,12.8
260,20200927,14.2
260,20200928,12.8
260,20200929,15.1
260,20200930,15.3
