Date,NSW
15/03,
16/03,
17/03,
18/03,
19/03,
20/03,
21/03,
22/03,
23/03,
24/03,
25/03,
26/03,
27/03,
28/03,
29/03,
30/03,
31/03,
01/04,218
02/04,231
03/04,231
04/04,251
05/04,250
06/04,250
07/04,103
08/04,92
09/04,88
10/04,83
11/04,78
12/04,78
13/04,77
14/04,80
15/04,73
16/04,64
17/04,63
18/04,57
19/04,57
20/04,53
21/04,55
22/04,50
23/04,47
24/04,43
25/04,39
26/04,37
27/04,35
28/04,33
29/04,28
30/04,27
01/05,27
02/05,28
03/05,27
04/05,27
05/05,25
06/05,25
07/05,24
08/05,23
09/05,20
10/05,13
11/05,20
12/05,19
13/05,22
14/05,23
15/05,22
16/05,22
17/05,22
18/05,22
19/05,22
20/05,20
21/05,20
22/05,20
23/05,17
24/05,16
25/05,15
26/05,14
27/05,14
28/05,13
29/05,13
30/05,12
31/05,11
01/06,10
02/06,11
03/06,11
04/06,11
05/06,10
06/06,9
07/06,9
08/06,9
09/06,9
10/06,9
11/06,10
12/06,10
13/06,9
14/06,9
15/06,9
16/06,10
17/06,10
18/06,9
19/06,9
20/06,10
21/06,8
22/06,8
23/06,9
24/06,8
25/06,8
26/06,4
27/06,5
28/06,3
29/06,5
30/06,4
01/07,2
02/07,2
03/07,2
04/07,2
05/07,2
06/07,1
07/07,2
08/07,3
09/07,3
10/07,4
11/07,3
12/07,7
13/07,17
14/07,2
15/07,2
16/07,2
17/07,2
18/07,3
19/07,2
20/07,5
21/07,4
22/07,5
23/07,6
24/07,7
25/07,6
26/07,9
27/07,10
28/07,11
29/07,10
30/07,11
31/07,11
01/08,13
02/08,13
03/08,13
04/08,17
05/08,20
06/08,16
07/08,15
08/08,15
09/08,17
10/08,17
11/08,17
12/08,17
13/08,15
14/08,14
15/08,16
16/08,14
17/08,13
18/08,13
19/08,15
20/08,16
21/08,16
22/08,15
23/08,13
24/08,14
25/08,10
26/08,10
27/08,11
28/08,12
29/08,10
30/08,9
31/08,9
01/09,10
02/09,10
03/09,12
04/09,13
05/09,14
06/09,14
07/09,13
08/09,13
09/09,14
10/09,15
11/09,12
12/09,12
13/09,12
14/09,10
15/09,12
16/09,11
