# STN,YYYYMMDD,TG
240,19510101,1.2
240,19510102,1.3
240,19510103,0.3
240,19510104,1.2
240,19510105,4.8
240,19510106,6.4
240,19510107,6.7
240,19510108,6.1
240,19510109,4.1
240,19510110,2.6
240,19510111,7.0
240,19510112,3.9
240,19510113,3.8
240,19510114,4.6
240,19510115,4.9
240,19510116,4.4
240,19510117,6.5
240,19510118,6.4
240,19510119,5.6
240,19510120,5.6
240,19510121,4.1
240,19510122,6.1
240,19510123,5.7
240,19510124,2.7
240,19510125,2.2
240,19510126,2.5
240,19510127,3.6
240,19510128,3.0
240,19510129,2.1
240,19510130,2.0
240,19510131,1.1
240,19510201,2.0
240,19510202,2.8
240,19510203,2.4
240,19510204,4.6
240,19510205,4.7
240,19510206,3.2
240,19510207,2.6
240,19510208,6.5
240,19510209,7.6
240,19510210,3.9
240,19510211,3.4
240,19510212,4.2
240,19510213,3.6
240,19510214,2.0
240,19510215,3.5
240,19510216,4.0
240,19510217,5.5
240,19510218,4.5
240,19510219,4.6
240,19510220,4.9
240,19510221,4.5
240,19510222,3.5
240,19510223,4.8
240,19510224,4.1
240,19510225,3.9
240,19510226,3.0
240,19510227,2.0
240,19510228,1.9
240,19510301,2.5
240,19510302,1.6
240,19510303,0.5
240,19510304,0.5
240,19510305,0.9
240,19510306,2.2
240,19510307,4.0
240,19510308,1.7
240,19510309,0.6
240,19510310,1.1
240,19510311,5.3
240,19510312,5.5
240,19510313,9.2
240,19510314,7.4
240,19510315,6.4
240,19510316,7.0
240,19510317,11.0
240,19510318,8.7
240,19510319,4.3
240,19510320,2.5
240,19510321,3.1
240,19510322,5.6
240,19510323,7.3
240,19510324,3.5
240,19510325,3.1
240,19510326,4.4
240,19510327,4.1
240,19510328,2.3
240,19510329,1.2
240,19510330,2.7
240,19510331,3.8
240,19510401,6.6
240,19510402,6.0
240,19510403,5.7
240,19510404,6.1
240,19510405,6.4
240,19510406,7.8
240,19510407,8.8
240,19510408,5.7
240,19510409,6.3
240,19510410,5.6
240,19510411,4.5
240,19510412,6.8
240,19510413,7.1
240,19510414,4.6
240,19510415,5.6
240,19510416,6.7
240,19510417,5.1
240,19510418,6.1
240,19510419,6.9
240,19510420,7.3
240,19510421,4.6
240,19510422,6.3
240,19510423,10.1
240,19510424,13.7
240,19510425,14.7
240,19510426,10.1
240,19510427,6.9
240,19510428,4.8
240,19510429,4.7
240,19510430,7.3
240,19510501,10.5
240,19510502,11.2
240,19510503,13.6
240,19510504,13.4
240,19510505,11.6
240,19510506,12.0
240,19510507,10.6
240,19510508,8.5
240,19510509,9.5
240,19510510,11.6
240,19510511,10.2
240,19510512,9.6
240,19510513,8.3
240,19510514,7.6
240,19510515,8.6
240,19510516,8.6
240,19510517,11.1
240,19510518,13.2
240,19510519,15.7
240,19510520,14.8
240,19510521,11.0
240,19510522,11.3
240,19510523,14.0
240,19510524,15.8
240,19510525,13.7
240,19510526,13.8
240,19510527,13.7
240,19510528,12.3
240,19510529,11.5
240,19510530,11.3
240,19510531,13.5
240,19510601,15.2
240,19510602,15.6
240,19510603,13.8
240,19510604,13.6
240,19510605,13.7
240,19510606,14.3
240,19510607,11.7
240,19510608,14.8
240,19510609,15.7
240,19510610,13.8
240,19510611,15.5
240,19510612,16.5
240,19510613,15.9
240,19510614,18.9
240,19510615,15.3
240,19510616,16.8
240,19510617,16.2
240,19510618,14.1
240,19510619,13.9
240,19510620,14.8
240,19510621,19.1
240,19510622,17.7
240,19510623,14.6
240,19510624,13.3
240,19510625,15.1
240,19510626,12.2
240,19510627,12.4
240,19510628,12.9
240,19510629,12.5
240,19510630,12.1
240,19510701,13.6
240,19510702,16.7
240,19510703,17.8
240,19510704,14.2
240,19510705,12.4
