index,Date,NSW,year
0,01/01,,2020
1,02/01,,2020
2,03/01,,2020
3,04/01,,2020
4,05/01,,2020
5,06/01,,2020
6,07/01,,2020
7,08/01,,2020
8,09/01,,2020
9,10/01,,2020
10,11/01,,2020
11,12/01,,2020
12,13/01,,2020
13,14/01,,2020
14,15/01,,2020
15,16/01,,2020
16,17/01,,2020
17,18/01,,2020
18,19/01,,2020
19,20/01,,2020
20,21/01,,2020
21,22/01,,2020
22,23/01,,2020
23,24/01,,2020
24,25/01,,2020
25,26/01,,2020
26,27/01,,2020
27,28/01,,2020
28,29/01,,2020
29,30/01,,2020
30,31/01,,2020
31,01/02,,2020
32,02/02,,2020
33,03/02,,2020
34,04/02,,2020
35,05/02,,2020
36,06/02,,2020
37,07/02,,2020
38,08/02,,2020
39,09/02,,2020
40,10/02,,2020
41,11/02,,2020
42,12/02,,2020
43,13/02,,2020
44,14/02,,2020
45,15/02,,2020
46,16/02,,2020
47,17/02,,2020
48,18/02,,2020
49,19/02,,2020
50,20/02,,2020
51,21/02,,2020
52,22/02,,2020
53,23/02,,2020
54,24/02,,2020
55,25/02,,2020
56,26/02,,2020
57,27/02,,2020
58,28/02,,2020
59,29/02,,2020
60,01/03,,2020
61,02/03,,2020
62,03/03,,2020
63,04/03,,2020
64,05/03,,2020
65,06/03,,2020
66,07/03,,2020
67,08/03,,2020
68,09/03,,2020
69,10/03,,2020
70,11/03,,2020
71,12/03,,2020
72,13/03,,2020
73,14/03,,2020
1,15/03,,2020
2,16/03,,2020
3,17/03,,2020
4,18/03,,2020
5,19/03,,2020
6,20/03,,2020
7,21/03,,2020
8,22/03,,2020
9,23/03,,2020
10,24/03,,2020
11,25/03,,2020
12,26/03,,2020
13,27/03,,2020
14,28/03,,2020
15,29/03,,2020
16,30/03,,2020
17,31/03,,2020
18,01/04,218,2020
19,02/04,231,2020
20,03/04,231,2020
21,04/04,251,2020
22,05/04,250,2020
23,06/04,250,2020
24,07/04,103,2020
25,08/04,92,2020
26,09/04,88,2020
27,10/04,83,2020
28,11/04,78,2020
29,12/04,78,2020
30,13/04,77,2020
31,14/04,80,2020
32,15/04,73,2020
33,16/04,64,2020
34,17/04,63,2020
35,18/04,57,2020
